date,new_diagnoses,new_tests,new_deaths
2021-01-15,2,16070,0
2021-01-16,12,14574,0
2021-01-17,9,12764,0
2021-01-18,8,8773,0
2021-01-19,2,10621,0
2021-01-20,3,19959,0
2021-01-21,5,12213,0
2021-01-22,-1,17431,0
2021-01-23,1,11343,0
2021-01-24,3,11344,0
2021-01-25,3,8689,0
2021-01-26,1,7819,0
2021-01-27,2,9723,0
2021-01-28,3,7809,0
2021-01-29,3,11897,0
2021-01-30,2,10504,0
2021-01-31,3,8811,0
2021-02-01,6,6023,0
2021-02-02,2,6686,0
2021-02-03,2,11816,0
2021-02-04,3,10551,0
2021-02-05,0,10113,0
2021-02-06,2,12521,0
2021-02-07,1,9248,0
2021-02-08,3,11399,0
2021-02-09,2,7315,0
2021-02-10,4,18885,0
2021-02-11,3,16397,0
2021-02-12,2,14518,0
2021-02-13,2,13088,0
2021-02-14,2,16302,0
2021-02-15,0,15695,0
2021-02-16,1,12336,0
2021-02-17,4,23463,0
2021-02-18,0,20906,0
2021-02-19,2,16970,0
2021-02-20,1,16422,0
2021-02-21,3,13586,0
2021-02-22,1,12175,0
2021-02-23,4,10177,0
2021-02-24,1,17917,0
2021-02-25,7,17919,0
2021-02-26,4,15498,0
2021-02-27,6,12671,0
2021-02-28,5,11225,0
2021-03-01,3,10652,0
2021-03-02,3,7576,0
2021-03-03,6,17047,0
2021-03-04,4,14855,0
2021-03-05,11,13389,0
2021-03-06,3,11594,0
2021-03-07,2,9727,0
2021-03-08,1,10092,0
2021-03-09,5,6825,0
2021-03-10,5,15534,0
2021-03-11,6,14135,0
2021-03-12,8,11050,0
2021-03-13,0,9994,0
2021-03-14,3,9269,0
2021-03-15,3,8199,0
2021-03-16,2,6257,0
2021-03-17,6,14255,0
2021-03-18,3,14049,0
2021-03-19,5,11872,0
2021-03-20,3,10375,0
2021-03-21,2,15783,0
2021-03-22,5,8337,0
2021-03-23,4,5127,0
2021-03-24,2,12322,0
2021-03-25,3,10158,0
2021-03-26,3,9904,0
2021-03-27,3,8256,0
2021-03-28,0,8204,0
2021-03-29,2,8037,0
2021-03-30,5,7303,0
2021-03-31,4,17393,0
2021-04-01,4,20459,0
2021-04-02,0,20061,0
2021-04-03,3,13460,0
2021-04-04,1,6249,0
2021-04-05,3,7973,0
2021-04-06,7,4819,0
2021-04-07,6,4876,0
2021-04-08,2,11694,0
